,가게이름,리뷰아이디,리뷰,맛평가
1,애성회관,굥이굥이,"한우곰탕 맛집입니다 ㅎㅎ맑은 국물에 고기도 연하고 부드럽고 사리랑 밥이랑 같이 먹을 수 있어서 좋아요! 김치도 맛있어서 두접시 먹었어요 ㅎㅎ패스트푸드처럼 앉아서 주문하면 바로 나와요 ㅎㅎ따뜻한 국물 생각날때,해장이 필요할때 추천합니당!!",맛있다
2,애성회관,Sukang Lee(이수강),북창동 한식. 곰탕오늘은 더워서 냉콩국수를 먹었는데 괜챦다.,맛있다
3,애성회관,gammadong,"‘특’을 주문해야 하는 이유주말에는 한산한 곳이다. 업무지구가 주를 이루는 곳이라, 평일에는 상당히 바쁠 곳이라 생각된다.앉자마자 특이라고 주문하고 잠깐 멍을 때린다.‘이제 물이랑 김치를 내주겠지’라고 생각하고 기다리면……물과 김치와 곰탕이 한 번에 나온다. 세상에, 어떻게 이렇게 빨리 나오는 건지 너무 놀랬다.맑은 육수에 수육 크기의 두꺼운 고기, 그리고 굵은 중면이 담겨져 있다.고기로 우려냈기 때문에 육수는 엄청 맑았다. 그리고 육수의 맛은 짙은 육향이 확 느껴졌다. 고기맛과 간장맛이 확하고 느껴졌다. 아마 소금대신 간장으로 간을 한거 같다. 하동관의 곰탕과 달리 기름의 맛이 약하다. 깔끔한 느낌이 상당히 크다.이 곰탕의 백미는 건더기, 고기에 있다. 주로 곰탕의 고기는 엄청 얇게 나오는데 반해 이 집 곰탕의 고기는 엄청 두껍다. 수육으로 나와야 할 고기가 곰탕에 들어간게 아니라는 착각이 들 정도의 고기다.고기, 육수, 밥, 중면사리의 조합에 김치를 얹어주면 곰탕은 순식간에 비워진다. 비록 김치 하나 밖에 없지만, 너무나도 만족스런 한끼였다.근데…. 약간 아쉬움이 있다. 웃기게도 깔끔한데, 뭔가 아쉽다. 뭐가 아쉬운 걸까…….이유모를 아쉬움이 있지만, 너무나도 만족스런 곰탕이었다. 특곰탕-₩12,000",맛있다
4,애성회관,연건동대학원생,너무 맛있고 깔끔 든든한 곰탕 한그릇특으로 먹어야 한다깍두기를 안먹는 남자친구가 깍두기 먹는 걸 처음 본 집 ㅋㅋㅋㅋ,맛있다
5,애성회관,걸어다니는 망고플레이트,첫입에 와 소리가 나오는 곰탕특으로 시키세요 제발!!고기가 진짜 미쳤습니다…국물은 다른 분들이 말씀하신대로 좀 아쉬운 감이 있어요첫 맛은 와..! 이지만 끝으로 갈 수록 약간 가벼운 감이 있어서곰탕 특유의 끈적함이랄까요 깊이 있는 맛이 없다는것은 아쉬움으로 남습니다가게 내부는 음.. 오래된 음식점 느낌입니다맛만 생각하고 가기엔 진짜 맛있는 집!!!,맛있다
6,애성회관,야미야미,"* 유명한 만큼 수준 급의 곰탕을 파는 집이다.* 그래도 아쉬움이 좀 있는데, 잘 익어서 시원한 맛이 나는 김치를 좋아하는 나에게 이 집 김치는 좀 아쉽다. 그리고 탕에서 고기 냄새가 좀 날 때가 있고, 밥이 가끄 오래된 건지 설익은 건지 이상할 때가 있다. 냄새랑 밥에 민감한 편인 나는 그날그날 음식 컨디션에 따라서 좋었다가 나빴다가 한다.이런 사람에게 추천: 곰탕 좋아한다면 유명 곰탕집 찾아 다니는 재미가 있지. 이 집 인 가봤다면 한번 가보기~",맛있다
7,애성회관,yun,가격 특 1.2보통1.0으로인상,괜찮다
8,애성회관,클로드,"맑고 진한 국물이 정말 매력적인 곳입니다. 간이 심심한 편이라, 슴슴한 맛을 싫어하시는 분이라면 아쉬워하실 거라고 생각합니다. 그리고 가격도 곰탕치고는 무난한 편입니다. 고기도 부드럽고 국물이 진해서 정말 맛있습니다. 그리고 무엇보다 김치가 맛있습니다. 달고 감칠맛이 좋아서 곰탕과 먹기 좋은 김치였습니다. 가볍게 먹을만한 곳이었습니다.",맛있다
9,애성회관,김재형,"오랜 기간 궁금했던 집인데 드디어 방문하게 되었습니다대기 없이 바로 입장할 수 있었습니다가게 내에 98%가 남자입니다 그마저도 2%는 일하시는 이모님들이니 찐으로 남성들의 아지트같은 느낌이 듭니다 물론 메뉴의 특성도 있겠지요곰탕 특으로 주문했고 30초만에 서빙이 됩니다놋그릇에 밥과 국수가 말아져서 나옵니다 밥이 쉬이 풀어지지않고 뭉쳐있는 부분도 있는걸 봐서는 토렴은 아닌 것 같습니다국물의 간은 충분히 되어져 나옵니다 맑은 국물은 다른 여타 유명 곰탕집들에 비해 감칠감칠의 맛이 좀 나긴 하지만 충분히 맛있습니다우동같은 중면이 밥과 함께 딸려 올라오는 것도 재미 중에 하나입니다 다른 두 가지의 탄수화물이 입 안에서 노니며 즐겁게 만들어줍니다 깍두기와 김치가 굉장히 맛있습니다 국밥집 김치의 정석이라고까지 할 수 있을 정도로 아주 좋았습니다 김치가 맛있어서 밥을 더 말고 싶어지는 정도입니다올라가는 양지 또한 완벽에 가깝게 상당히 잘 조리가 되었습니다 쫄깃하고 부드럽고 육향과 간까지 완벽합니다 수육도 궁금해지게 만듭니다퍽퍽하고 어수룩한 수입산 고기 많이 올라가는 곰탕보다 애성회관처럼 제대로 된 맛있는 고기 몇 점 올라가는게 훨씬 좋습니다아주 잘 먹었고 유명한 이유도, 높은 평점도 납득이 가는 맛이었습니다집 근처에서는 우영관을 종종 다니는데 애성회관 스타일의 곰탕집도 하나 생기면 번갈아 다니는 맛이 있을 것 같습니다 재방문 의사 : △",맛있다
10,애성회관,푸디트래블러,"시청역과 회현역 사이, 남대문시장 부근 골목에 위치한 곰탕집. 80년 전통의 하동관 못지않게 50년 전통의 역사를 자랑하는 한우곰탕 전문점이다. 빛이 바랜 간판과 낡은 건물의 외관이 역사를 말해주는 듯하다.대표메뉴는 단연 한우곰탕. 웬만하면 특사이즈로 주문할 것을 추천한다. (특은 먹어줘야 제대로 먹은 것 같은 느낌을 준다.) 특으로 주문해도 가격이 만 원 밖에 되지 않을 정도로 가성비가 훌륭한 곳.역시 한국인의 패스트푸드인 국밥답게 주문한지 2분도 채 되지 않아 식사가 등장한다. 맑은 빛깔의 국물에 먹기 좋게 썰은 한우 양지 다섯 점, 굵은 중면 사리, 그리고 흰 쌀밥이 들어가 있다. 간장으로 간을 한 국물은 따로 간을 하지 않아도 될 정도로 충분히 진하고 짭잘한 편이다.깊고 진한 국물의 곰탕을 좋아하는 사람들에겐 거를 타선이 없다. 기본으로 제공되는 석박지와 배추김치마저 알맞게 익어 시원하게 맛있다. 특사이즈를 주문했음에도 밥을 추가하고 싶을 정도로 제대로 된 밥도둑이다. 내 안에 국밥 러버 한국인의 피가 흐르고 있다는 걸 다시 한 번 확인시켜준 곳.ℹ️맛: 4.5/5가격: 곰탕(보통) 8.0 곰탕(특) 10.0 ℹ️위치: 시청역 7번출구영업시간: 10am-9pm (Break time 3-5pm)웨이팅: 없음분위기: 전통있는 국밥집 바이브#먹어서응원",맛있다
